ant_main,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,Pride-iFit,h-index_better,h-index_no worse,h-index_worse,h-index_Compare_Result,a-index_better,a-index_no worse,a-index_worse,a-index_Compare_Result,k-core_better,k-core_no worse,k-core_worse,k-core_Compare_Result,ICOOK_better,ICOOK_no worse,ICOOK_worse,ICOOK_Compare_Result,PageRank_better,PageRank_no worse,PageRank_worse,PageRank_Compare_Result,PageRank_BR_better,PageRank_BR_no worse,PageRank_BR_worse,PageRank_BR_Compare_Result,ElementRank_better,ElementRank_no worse,ElementRank_worse,ElementRank_Compare_Result,Pride_better,Pride_no worse,Pride_worse,Pride_Compare_Result,Pride-iFit_better,Pride-iFit_no worse,Pride-iFit_worse,Pride-iFit_Compare_Result
Top-Ranked%=0.01,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.0,1.0,0.0,0|1|0,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
Top-Ranked%=0.02,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.5,0.6,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,1.0,1.0,0.0,1|1|0
Top-Ranked%=0.03,0.3,0.0,0.2,0.4,0.4,0.2,0.4,0.6,0.7,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,1.0,1.0,0.0,1|1|0
Top-Ranked%=0.04,0.3,0.0,0.2,0.4,0.4,0.2,0.5,0.7,0.7,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
Top-Ranked%=0.05,0.4,0.0,0.2,0.4,0.4,0.2,0.5,0.7,0.7,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
Top-Ranked%=0.06,0.5,0.0,0.2,0.4,0.4,0.2,0.6,0.8,0.7,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,1.0,1.0,0.0,1|1|0,0.0,0.0,1.0,0|0|1
Top-Ranked%=0.07,0.5,0.0,0.2,0.5,0.5,0.2,0.6,0.8,0.8,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
Top-Ranked%=0.08,0.5,0.0,0.2,0.5,0.5,0.5,0.6,0.8,0.8,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
Top-Ranked%=0.09,0.6,0.0,0.2,0.5,0.5,0.7,0.6,0.8,0.8,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
Top-Ranked%=0.1,0.6,0.0,0.2,0.5,0.5,0.7,0.6,0.8,0.8,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,0.0,1.0,0|0|1,0.0,1.0,0.0,0|1|0,0.0,1.0,0.0,0|1|0
